County,State,Case Count
Accomack,Virginia,5
Addison,Vermont,3
Albany,New York,1
Albemarle,Virginia,3
Alexandria,Virginia,6
Allegany,New York,1
Alleghany,Virginia,1
Allegheny,Pennsylvania,12
Amelia,Virginia,1
Amherst,Virginia,1
Anderson,Tennessee,2
Anne Arundel,Maryland,20
Anson,North Carolina,1
Appling,Georgia,1
Arlington,Virginia,5
Aroostook,Maine,1
Ashe,North Carolina,1
Atlantic,New Jersey,75
Augusta,Virginia,1
Baltimore,Maryland,197
Banks,Georgia,1
Barnstable,Massachusetts,17
Barrow,Georgia,1
Bartow,Georgia,3
Beaver,Pennsylvania,1
Bedford,Pennsylvania,2
Bedford,Tennessee,1
Ben Hill,Georgia,1
Benton,Tennessee,1
Bergen,New Jersey,21
Berks,Pennsylvania,10
Berkshire,Massachusetts,1
Bibb,Georgia,3
Bladen,North Carolina,1
Blair,Pennsylvania,1
Bland,Virginia,1
Blount,Tennessee,2
Botetourt,Virginia,1
Bradford,Pennsylvania,2
Bristol,Massachusetts,11
Bristol,Virginia,1
Bronx,New York,189
Brooke,West Virginia,1
Brunswick,North Carolina,5
Brunswick,Virginia,3
Buckingham,Virginia,1
Bucks,Pennsylvania,9
Buncombe,North Carolina,2
Burke,North Carolina,1
Burlington,New Jersey,16
Cabarrus,North Carolina,1
Cabell,West Virginia,2
Calvert,Maryland,1
Cambria,Pennsylvania,1
Camden,Georgia,2
Camden,New Jersey,15
Cameron,Pennsylvania,1
Campbell,Virginia,2
Candler,Georgia,1
Cape May,New Jersey,29
Caroline,Virginia,3
Carroll,Georgia,1
Carteret,North Carolina,2
Cattaraugus,New York,1
Cayuga,New York,2
Cecil,Maryland,4
Charles,Maryland,7
Charles City,Virginia,1
Chatham,Georgia,19
Chatham,North Carolina,2
Chautauqua,New York,2
Chemung,New York,1
Cherokee,Georgia,2
Cherokee,North Carolina,1
Chesapeake,Virginia,6
Cheshire,New Hampshire,3
Chester,Pennsylvania,5
Chester,Tennessee,1
Chesterfield,Virginia,1
Chittenden,Vermont,1
Claiborne,Tennessee,1
Clarion,Pennsylvania,1
Clarke,Virginia,1
Clayton,Georgia,6
Cobb,Georgia,9
Cocke,Tennessee,1
Columbia,Georgia,1
Columbia,Pennsylvania,1
Columbus,North Carolina,2
Cook,Georgia,2
Craven,North Carolina,3
Crisp,Georgia,1
Crockett,Tennessee,1
Cumberland,Maine,3
Cumberland,New Jersey,2
Cumberland,North Carolina,9
Cumberland,Tennessee,1
Currituck,North Carolina,1
Dare,North Carolina,3
Dauphin,Pennsylvania,2
Davidson,North Carolina,2
Davidson,Tennessee,23
Dawson,Georgia,4
DeKalb,Georgia,20
Decatur,Georgia,1
Delaware,Pennsylvania,31
Dickson,Tennessee,1
Dinwiddie,Virginia,3
Dooly,Georgia,1
Dougherty,Georgia,2
Douglas,Georgia,2
Dukes,Massachusetts,1
Duplin,North Carolina,2
Durham,North Carolina,3
Dutchess,New York,1
Dyer,Tennessee,1
Edgecombe,North Carolina,1
Erie,New York,9
Essex,Massachusetts,27
Essex,New Jersey,72
Essex,New York,1
Fairfax,Virginia,18
Fairfield,Connecticut,12
Falls Church,Virginia,1
Fannin,Georgia,1
Fauquier,Virginia,1
Fayette,Pennsylvania,2
Fayette,West Virginia,1
Forsyth,Georgia,2
Forsyth,North Carolina,8
Franklin,Massachusetts,1
Franklin,North Carolina,2
Frederick,Maryland,7
Frederick,Virginia,3
Fulton,Georgia,102
Fulton,New York,1
Gaston,North Carolina,2
Genesee,New York,1
Gilmer,Georgia,3
Gloucester,New Jersey,23
Gloucester,Virginia,1
Glynn,Georgia,7
Goochland,Virginia,1
Gordon,Georgia,1
Grady,Georgia,1
Greenbrier,West Virginia,2
Greene,Georgia,1
Greene,New York,2
Greensville,Virginia,2
Grundy,Tennessee,1
Guilford,North Carolina,7
Gwinnett,Georgia,12
Halifax,Virginia,1
Hamblen,Tennessee,1
Hamilton,Tennessee,8
Hampden,Massachusetts,6
Hampshire,West Virginia,1
Hampton,Virginia,4
Hancock,Maine,8
Hancock,West Virginia,2
Hanover,Virginia,6
Hardeman,Tennessee,1
Harford,Maryland,8
Harnett,North Carolina,3
Harris,Georgia,1
Hartford,Connecticut,14
Haywood,North Carolina,1
Henderson,North Carolina,3
Henderson,Tennessee,1
Henrico,Virginia,6
Henry,Georgia,3
Henry,Tennessee,1
Henry,Virginia,1
Hickman,Tennessee,1
Highland,Virginia,1
Hillsborough,New Hampshire,1
Hoke,North Carolina,3
Howard,Maryland,1
Hudson,New Jersey,59
Hunterdon,New Jersey,1
Hyde,North Carolina,1
Indiana,Pennsylvania,1
Iredell,North Carolina,2
Isle of Wight,Virginia,3
Jackson,Georgia,2
Jackson,North Carolina,1
James City,Virginia,2
Jasper,Georgia,1
Jefferson,Pennsylvania,1
Jefferson,Tennessee,1
Jefferson,West Virginia,4
Jenkins,Georgia,2
Johnson,Tennessee,2
Johnston,North Carolina,9
Jones,North Carolina,1
Kanawha,West Virginia,4
Kings,New York,337
Knox,Tennessee,9
Lackawanna,Pennsylvania,2
Lancaster,Pennsylvania,5
Lawrence,Pennsylvania,1
Lee,North Carolina,2
Lee,Virginia,1
Lehigh,Pennsylvania,2
Lenoir,North Carolina,1
Lewis,West Virginia,1
Lincoln,Maine,1
Litchfield,Connecticut,1
Livingston,New York,1
Loudon,Tennessee,1
Loudoun,Virginia,6
Louisa,Virginia,2
Lowndes,Georgia,1
Lunenburg,Virginia,1
Luzerne,Pennsylvania,4
Lynchburg,Virginia,3
Macon,North Carolina,2
Madison,Tennessee,1
Marshall,West Virginia,1
Mason,West Virginia,1
McKean,Pennsylvania,1
McMinn,Tennessee,1
Mecklenburg,North Carolina,12
Mecklenburg,Virginia,4
Mercer,New Jersey,11
Mercer,Pennsylvania,1
Mercer,West Virginia,2
Meriwether,Georgia,2
Merrimack,New Hampshire,2
Middlesex,Connecticut,4
Middlesex,Massachusetts,27
Middlesex,New Jersey,17
Mingo,West Virginia,1
Monmouth,New Jersey,31
Monongalia,West Virginia,1
Monroe,Georgia,2
Monroe,New York,29
Monroe,Pennsylvania,2
Monroe,Tennessee,1
Montgomery,Maryland,12
Montgomery,Pennsylvania,3
Morgan,Tennessee,1
Morgan,West Virginia,1
Morris,New Jersey,3
Muscogee,Georgia,3
Nantucket,Massachusetts,1
Nash,North Carolina,8
Nassau,New York,17
Nelson,Virginia,7
New Hanover,North Carolina,3
New Haven,Connecticut,10
New London,Connecticut,4
New York,New York,509
Newport News,Virginia,7
Newton,Georgia,1
Niagara,New York,26
Norfolk,Massachusetts,14
Norfolk,Virginia,22
Northampton,North Carolina,1
Northampton,Virginia,7
Northumberland,Pennsylvania,2
Northumberland,Virginia,1
Nottoway,Virginia,2
Ocean,New Jersey,34
Oglethorpe,Georgia,1
Onondaga,New York,5
Onslow,North Carolina,3
Orange,New York,10
Orange,North Carolina,1
Orange,Virginia,1
Orleans,New York,1
Oswego,New York,3
Page,Virginia,1
Pamlico,North Carolina,1
Passaic,New Jersey,12
Patrick,Virginia,1
Paulding,Georgia,1
Pender,North Carolina,1
Pendleton,West Virginia,1
Perry,Pennsylvania,1
Petersburg,Virginia,5
Philadelphia,Pennsylvania,224
Pickens,Georgia,2
Pitt,North Carolina,2
Pittsylvania,Virginia,4
Plymouth,Massachusetts,9
Polk,Georgia,2
Polk,North Carolina,3
Portsmouth,Virginia,6
Prince George's,Maryland,82
Prince William,Virginia,3
Pulaski,Georgia,1
Pulaski,Virginia,2
Putnam,Georgia,2
Putnam,New York,3
Queen Anne's,Maryland,2
Queens,New York,218
